risk_zone,zone_center_lat,zone_center_lon,day_type,holiday_flag,time_period,hour,month,season,weather,accident_count,total_death,total_serious_injury,total_minor_injury,total_injury,accident_flag,zone_total_accident,zone_total_death,zone_total_serious_injury,zone_total_minor_injury,zone_avg_lat,zone_avg_lon,zone_historical_priority
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,0,1,ฤดูหนาว,แจ่มใส,1,0,0.0,1.0,1,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,0,8,ฤดูฝน,แจ่มใส,1,0,0.0,1.0,1,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,1,5,ฤดูร้อน,แจ่มใส,1,0,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,1,12,ฤดูหนาว,แจ่มใส,1,0,0.0,1.0,1,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,2,11,ฤดูหนาว,แจ่มใส,1,0,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,3,1,ฤดูหนาว,แจ่มใส,1,0,0.0,6.0,6,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,3,2,ฤดูหนาว,แจ่มใส,1,0,0.0,0.0,3,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,3,5,ฤดูร้อน,แจ่มใส,1,0,0.0,0.0,3,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,3,9,ฤดูฝน,แจ่มใส,1,0,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,4,1,ฤดูหนาว,แจ่มใส,1,0,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,4,4,ฤดูร้อน,แจ่มใส,1,0,0.0,1.0,1,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,4,10,ฤดูฝน,มีหมอก/ควัน/ฝุ่น,1,0,0.0,1.0,1,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,20,2,ฤดูหนาว,แจ่มใส,1,1,0.0,0.0,1,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,20,4,ฤดูร้อน,แจ่มใส,1,1,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,20,5,ฤดูร้อน,แจ่มใส,1,0,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,20,9,ฤดูฝน,แจ่มใส,1,1,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,21,1,ฤดูหนาว,แจ่มใส,1,0,1.0,0.0,1,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,22,1,ฤดูหนาว,แจ่มใส,1,0,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,23,2,ฤดูหนาว,แจ่มใส,1,0,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางคืน,23,4,ฤดูร้อน,แจ่มใส,1,0,0.0,1.0,1,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางวัน,9,9,ฤดูฝน,แจ่มใส,1,0,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางวัน,9,11,ฤดูหนาว,แจ่มใส,1,0,0.0,2.0,2,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางวัน,10,1,ฤดูหนาว,แจ่มใส,3,1,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางวัน,10,3,ฤดูร้อน,แจ่มใส,1,0,0.0,0.0,1,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางวัน,10,10,ฤดูฝน,แจ่มใส,1,7,0.0,0.0,4,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางวัน,11,1,ฤดูหนาว,แจ่มใส,1,0,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางวัน,11,3,ฤดูร้อน,แจ่มใส,1,0,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางวัน,11,8,ฤดูฝน,แจ่มใส,1,0,0.0,0.0,4,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางวัน,11,10,ฤดูฝน,แจ่มใส,1,0,0.0,0.0,0,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
1,15.1704078728125,104.91281702395833,วันทำงาน,0,กลางวัน,12,2,ฤดูหนาว,แจ่มใส,1,0,0.0,1.0,1,1,96,18,14.0,64.0,15.170407872812499,104.91281702395833,292.0
